Date,Close,High,Low,Open,Volume,Ticker,KSE100_Close,CompanyName,Sector
2020-03-12,77.69,84.31,77.0,80.94,8048500.0,DGKC,42047.72,DG Khan Cement Company,Cement
2020-03-13,78.4,80.65,72.26,75.15,12791500.0,DGKC,36060.88,DG Khan Cement Company,Cement
2020-03-16,72.52,76.12,72.52,76.12,5315500.0,DGKC,33684.91,DG Khan Cement Company,Cement
2020-03-17,73.7,76.12,70.34,72.27,5872500.0,DGKC,32616.93,DG Khan Cement Company,Cement
2020-03-18,68.18,72.27,68.18,72.27,2909500.0,DGKC,30416.05,DG Khan Cement Company,Cement
2020-03-19,63.08,65.43,63.08,63.08,5046500.0,DGKC,30129.83,DG Khan Cement Company,Cement
2020-03-20,60.77,65.14,58.35,64.56,8734500.0,DGKC,30667.41,DG Khan Cement Company,Cement
2020-03-23,60.77,60.77,60.77,60.77,0.0,DGKC,30667.41,DG Khan Cement Company,Cement
2020-03-24,56.22,62.63,56.22,56.22,1178000.0,DGKC,28564.83,DG Khan Cement Company,Cement
2020-03-25,52.05,59.65,52.0,58.5,4216500.0,DGKC,27228.8,DG Khan Cement Company,Cement
2020-03-26,48.23,54.35,48.15,51.07,2949000.0,DGKC,27267.2,DG Khan Cement Company,Cement
2020-03-27,51.54,51.84,45.31,47.22,3209000.0,DGKC,28109.57,DG Khan Cement Company,Cement
2020-03-30,55.04,55.26,49.14,51.54,4506500.0,DGKC,28023.39,DG Khan Cement Company,Cement
2020-03-31,57.09,58.06,53.58,54.92,5752500.0,DGKC,29231.63,DG Khan Cement Company,Cement
2020-04-01,56.59,58.08,55.7,57.91,4670500.0,DGKC,29231.63,DG Khan Cement Company,Cement
2020-04-02,60.83,60.83,55.04,56.37,6908000.0,DGKC,40884.25,DG Khan Cement Company,Cement
2020-04-03,65.35,65.39,64.56,65.39,3051000.0,DGKC,38906.4,DG Khan Cement Company,Cement
2020-04-06,62.33,70.12,61.04,70.12,7312000.0,DGKC,34119.39,DG Khan Cement Company,Cement
2020-04-07,66.76,67.01,63.21,63.6,5113000.0,DGKC,34119.39,DG Khan Cement Company,Cement
2020-04-08,66.73,68.37,65.86,67.45,6422000.0,DGKC,39577.62,DG Khan Cement Company,Cement
2020-04-09,71.73,71.73,68.41,68.41,5486000.0,DGKC,42023.0,DG Khan Cement Company,Cement
2020-04-10,73.27,74.0,71.73,72.85,6322500.0,DGKC,42023.0,DG Khan Cement Company,Cement
2020-04-13,68.14,72.61,67.78,72.51,6005500.0,DGKC,31032.99,DG Khan Cement Company,Cement
2020-04-14,70.24,70.69,68.13,68.53,6222500.0,DGKC,31222.74,DG Khan Cement Company,Cement
2020-04-15,71.46,74.1,70.92,72.9,7858000.0,DGKC,31242.19,DG Khan Cement Company,Cement
2020-04-16,71.18,72.46,69.67,72.37,3735000.0,DGKC,31329.46,DG Khan Cement Company,Cement
2020-04-17,76.52,76.52,76.52,76.52,998500.0,DGKC,32831.83,DG Khan Cement Company,Cement
2020-04-20,82.25,82.25,80.56,82.25,10903500.0,DGKC,33499.65,DG Khan Cement Company,Cement
2020-04-21,83.07,87.15,79.5,79.5,20605500.0,DGKC,32422.83,DG Khan Cement Company,Cement
2020-04-22,84.51,86.97,83.35,84.07,13798500.0,DGKC,32464.23,DG Khan Cement Company,Cement
2020-04-23,80.01,85.77,79.01,85.77,10458500.0,DGKC,32850.83,DG Khan Cement Company,Cement
2020-04-24,79.7,81.42,78.63,79.59,4244000.0,DGKC,32806.38,DG Khan Cement Company,Cement
2020-04-27,78.26,79.3,74.68,78.05,7005000.0,DGKC,32314.57,DG Khan Cement Company,Cement
2020-04-28,81.51,82.82,78.72,78.72,6659000.0,DGKC,32553.39,DG Khan Cement Company,Cement
2020-04-29,81.89,83.3,81.13,82.1,7269500.0,DGKC,33158.84,DG Khan Cement Company,Cement
2020-04-30,83.49,84.32,82.49,82.49,6592500.0,DGKC,34111.64,DG Khan Cement Company,Cement
2020-05-01,83.49,83.49,83.49,83.49,0.0,DGKC,34111.64,DG Khan Cement Company,Cement
2020-05-04,80.96,83.05,80.46,81.9,5415500.0,DGKC,34111.64,DG Khan Cement Company,Cement
2020-05-05,79.34,82.39,77.33,81.9,4982500.0,DGKC,33992.75,DG Khan Cement Company,Cement
2020-05-06,77.87,79.98,77.38,79.01,2870500.0,DGKC,34350.42,DG Khan Cement Company,Cement
2020-05-07,75.85,80.83,75.27,77.18,8190500.0,DGKC,34350.42,DG Khan Cement Company,Cement
